,STN_NAM_DE,LAT,LONG
0,ESPLANADE MRT STATION,1.293657725,103.8550812
1,PAYA LEBAR MRT STATION,1.317247385,103.8922608
2,DHOBY GHAUT MRT STATION,1.298650438,103.8461561
3,DAKOTA MRT STATION,1.308431443,103.8892682
4,LAVENDER MRT STATION,1.307391879,103.8627846
5,RENJONG LRT STATION,1.38670059,103.8906213
6,DOVER MRT STATION,1.311405293,103.7786378
7,HOUGANG MRT STATION,1.370334724,103.8922618
8,PHOENIX LRT STATION,1.378615451,103.7579956
9,ALJUNIED MRT STATION,1.316432612,103.882906
10,COVE LRT STATION,1.399281988,103.9059619
11,PASIR RIS MRT STATION,1.373043316,103.9492845
12,ADMIRALTY MRT STATION,1.440588562,103.8009905
13,KEMBANGAN MRT STATION,1.321038134,103.9129479
14,PUNGGOL POINT LRT STATION,1.41684852,103.9066508
15,MARSILING MRT STATION,1.432521149,103.7740746
16,COMPASSVALE LRT STATION,1.394493045,103.9004925
17,KHATIB MRT STATION,1.41738337,103.8329799
18,LAYAR LRT STATION,1.392079837,103.8800296
19,TAMPINES WEST MRT STATION,1.345633658,103.9384925
20,TAMPINES MRT STATION,1.345515306,103.938437
21,TAMPINES EAST MRT STATION,1.356191483,103.9546345
22,TAI SENG MRT STATION,1.335141501,103.8883893
24,SUMANG LRT STATION,1.408452419,103.8985585
26,STEVENS MRT STATION,1.320065558,103.8260244
27,STADIUM MRT STATION,1.302812468,103.8753377
28,SIXTH AVENUE MRT STATION,1.330857645,103.7969068
29,SOUTH VIEW LRT STATION,1.380298287,103.7452918
30,SOO TECK LRT STATION,1.405323319,103.8972905
31,SOMERSET MRT STATION,1.300252877,103.8391583
32,SIMEI MRT STATION,1.343197079,103.9533772
33,SERANGOON MRT STATION,1.350633615,103.8727717
34,SERANGOON MRT STATION,1.350633615,103.8727717
35,SENGKANG MRT STATION,1.391694626,103.8954847
36,BRADDELL MRT STATION,1.340105207,103.8467559
37,NOVENA MRT STATION,1.320440791,103.8438256
38,FARRER PARK MRT STATION,1.3131403,103.8547547
39,BEDOK MRT STATION,1.320401487,103.9571838
40,REDHILL MRT STATION,1.289634534,103.816741
41,CHANGI AIRPORT MRT STATION,1.357478974,103.9878836
42,CORAL EDGE LRT STATION,1.393909229,103.9125808
43,CLEMENTI MRT STATION,1.315116253,103.7651915
44,BUKIT BATOK MRT STATION,1.349033312,103.7495665
45,OASIS LRT STATION,1.40228668,103.9127274
46,NIBONG LRT STATION,1.411854477,103.9003395
47,MERIDIAN LRT STATION,1.39691205,103.9089502
48,BUKIT GOMBAK MRT STATION,1.358611591,103.7517909
49,EUNOS MRT STATION,1.319783549,103.9032258
50,CHINESE GARDEN MRT STATION,1.342244948,103.7327666
51,KADALOOR LRT STATION,1.399509106,103.916575
52,CHENG LIM LRT STATION,1.396277633,103.8937972
53,SAM KEE LRT STATION,1.409612685,103.9048316
54,KRANJI MRT STATION,1.425086981,103.7621375
55,ANG MO KIO MRT STATION,1.36993285,103.8495581
56,RIVIERA LRT STATION,1.394519785,103.9161694
