Primary school,Type,Gender,Location,LAT,LONG,TAG
Admiralty Primary School,Government,Mixed,Woodlands,1.44263479,103.8000401,ADMIRALTY PRIMARY SCHOOL
Ahmad Ibrahim Primary School,Government,Mixed,Yishun,1.433152715,103.8329424,AHMAD IBRAHIM PRIMARY SCHOOL
Ai Tong School,"Government-aided,?SAP",Mixed,Bishan,1.360583434,103.8330203,AI TONG SCHOOL
Alexandra Primary School,Government,Mixed,Bukit Merah,1.291334392,103.8244247,ALEXANDRA PRIMARY SCHOOL
Anchor Green Primary School,Government,Mixed,Sengkang,1.390369987,103.8871654,ANCHOR GREEN PRIMARY SCHOOL
Anderson Primary School,Government,Mixed,Ang Mo Kio,1.384264294,103.8413921,ANDERSON PRIMARY SCHOOL
Ang Mo Kio Primary School,Government,Mixed,Ang Mo Kio,1.369321766,103.8396309,ANG MO KIO PRIMARY SCHOOL
Anglo-Chinese School (Junior),Government-aided,Boys,Central,1.309350413,103.8409503,ANGLO-CHINESE SCHOOL (JUNIOR)
Anglo-Chinese School (Primary),Government-aided,Boys,Bukit Timah,1.318370545,103.8356097,ANGLO-CHINESE SCHOOL (PRIMARY)
Angsana Primary School,Government,Mixed,Tampines,1.348552876,103.9518081,ANGSANA PRIMARY SCHOOL
Beacon Primary School,Government,Mixed,Bukit Panjang,1.383949362,103.773632,BEACON PRIMARY SCHOOL
Bedok Green Primary School,Government,Mixed,Bedok,1.323445933,103.937879,BEDOK GREEN PRIMARY SCHOOL
Bendemeer Primary School,Government,Mixed,Kallang,1.321812508,103.8654042,BENDEMEER PRIMARY SCHOOL
Blangah Rise Primary School,Government,Mixed,Bukit Merah,1.276120479,103.8086285,BLANGAH RISE PRIMARY SCHOOL
Boon Lay Garden Primary School,Government,Mixed,Jurong West,1.343178538,103.7132809,BOON LAY GARDEN PRIMARY SCHOOL
Bukit Panjang Primary School,Government,Mixed,Bukit Panjang,1.373621793,103.7693749,BUKIT PANJANG PRIMARY SCHOOL
Bukit Timah Primary School,Government,Mixed,Bukit Timah,1.337299558,103.7668287,BUKIT TIMAH PRIMARY SCHOOL
Bukit View Primary School,Government,Mixed,Bukit Batok,1.345860548,103.7536664,BUKIT VIEW PRIMARY SCHOOL
Canberra Primary School,Government,Mixed,Sembawang,1.451250244,103.8158589,CANBERRA PRIMARY SCHOOL
Canossa Catholic Primary School,Government-aided,Mixed,Geylang,1.326644245,103.882228,CANOSSA CATHOLIC PRIMARY SCHOOL
Cantonment Primary School,Government,Mixed,Bukit Merah,1.275472526,103.8399626,CANTONMENT PRIMARY SCHOOL
Casuarina Primary School,Government,Mixed,Pasir Ris,1.372460639,103.9570203,CASUARINA PRIMARY SCHOOL
Catholic High School (Primary),"Government-aided,?SAP",Boys,Bishan,1.354723075,103.8448747,CATHOLIC HIGH SCHOOL
Cedar Primary School,Government,Mixed,Toa Payoh,1.335588501,103.875621,CEDAR PRIMARY SCHOOL
Changkat Primary School,Government,Mixed,Tampines,1.34023164,103.9520801,CHANGKAT PRIMARY SCHOOL
CHIJ (Katong) Primary,Government-aided,Girls,Katong,1.306485353,103.9111056,CHIJ (KATONG) PRIMARY
CHIJ (Kellock),Government-aided,Girls,Bukit Merah,1.275022723,103.8281576,CHIJ (KELLOCK)
CHIJ Our Lady of Good Counsel,Government-aided,Girls,Serangoon,1.357429523,103.8640094,CHIJ OUR LADY OF GOOD COUNSEL
CHIJ Our Lady of the Nativity,Government-aided,Girls,Hougang,1.373302971,103.8975757,CHIJ OUR LADY OF THE NATIVITY
CHIJ Our Lady Queen of Peace,Government-aided,Girls,Bukit Panjang,1.366603669,103.7674122,CHIJ OUR LADY QUEEN OF PEACE
CHIJ Primary (Toa Payoh),Government-aided,Girls,Toa Payoh,1.332752647,103.8418473,CHIJ PRIMARY (TOA PAYOH)
CHIJ St. Nicholas Girls' School,"Government-aided,?SAP",Girls,Ang Mo Kio,1.373476879,103.8342533,CHIJ SAINT NICHOLAS GIRLS' SCHOOL
Chongfu School,Government-aided,Mixed,Yishun,1.438395629,103.8393092,CHONGFU SCHOOL
Chongzheng Primary School,Government,Mixed,Tampines,1.350707392,103.9513995,CHONGZHENG PRIMARY SCHOOL
Chua Chu Kang Primary School,Government,Mixed,Chua Chu Kang,1.377758901,103.7418329,CHUA CHU KANG PRIMARY SCHOOL
Clementi Primary School,Government,Mixed,Clementi,1.315063218,103.7631445,CLEMENTI PRIMARY SCHOOL
Compassvale Primary School,Government,Mixed,Sengkang,1.394445296,103.8978122,COMPASSVALE PRIMARY SCHOOL
Concord Primary School,Government,Mixed,Chua Chu Kang,1.380008062,103.7362254,CONCORD PRIMARY SCHOOL
Corporation Primary School,Government,Mixed,Jurong West,1.350997799,103.7075937,CORPORATION PRIMARY SCHOOL
Damai Primary School,Government,Mixed,Bedok,1.335461068,103.9212702,DAMAI PRIMARY SCHOOL
Dazhong Primary School,Government,Mixed,Bukit Batok,1.359179745,103.7484721,DAZHONG PRIMARY SCHOOL
De La Salle School,Government-aided,Mixed,Chua Chu Kang,1.39470783,103.7432018,DE LA SALLE SCHOOL
East Spring Primary School,Government,Mixed,Tampines,1.352684007,103.9616768,EAST SPRING PRIMARY SCHOOL
Edgefield Primary School,Government,Mixed,Punggol,1.400091395,103.9078476,EDGEFIELD PRIMARY SCHOOL
Elias Park Primary School,Government,Mixed,Pasir Ris,1.374512694,103.9451281,ELIAS PARK PRIMARY SCHOOL
Endeavour Primary School,Government,Mixed,Sembawang,1.454038375,103.8174362,ENDEAVOUR PRIMARY SCHOOL
Eunos Primary School,Government,Mixed,Bedok,1.324476299,103.9045413,EUNOS PRIMARY SCHOOL
Evergreen Primary School,Government,Mixed,Woodlands,1.444153328,103.7945778,EVERGREEN PRIMARY SCHOOL
Fairfield Methodist School (Primary),Government-aided,Mixed,Dover,1.300540825,103.7854383,FAIRFIELD METHODIST SCHOOL (PRIMARY)
Farrer Park Primary School,Government,Mixed,Kallang,1.312368677,103.8507664,FARRER PARK PRIMARY SCHOOL
Fengshan Primary School,Government,Mixed,Bedok,1.329805988,103.9317103,FENGSHAN PRIMARY SCHOOL
Fernvale Primary School,Government,Mixed,Sengkang,1.39030228,103.8744455,FERNVALE PRIMARY SCHOOL
First Toa Payoh Primary School,Government,Mixed,Toa Payoh,1.340322995,103.8555299,FIRST TOA PAYOH PRIMARY SCHOOL
Frontier Primary School,Government,Mixed,Jurong West,1.336412987,103.6997017,FRONTIER PRIMARY SCHOOL
Fuchun Primary School,Government,Mixed,Woodlands,1.430479908,103.7781929,FUCHUN PRIMARY SCHOOL
Fuhua Primary School,Government,Mixed,Jurong East,1.336503948,103.7361037,FUHUA PRIMARY SCHOOL
Gan Eng Seng Primary School,Government,Mixed,Bukit Merah,1.285595165,103.8155474,GAN ENG SENG PRIMARY SCHOOL
Geylang Methodist School (Primary),Government-aided,Mixed,Geylang,1.317591268,103.8838457,GEYLANG METHODIST SCHOOL (PRIMARY)
Gongshang Primary School,Government,Mixed,Tampines,1.357237214,103.9491153,GONGSHANG PRIMARY SCHOOL
Greendale Primary School,Government,Mixed,Punggol,1.396481951,103.9123346,GREENDALE PRIMARY SCHOOL
Greenridge Primary School,Government,Mixed,Bukit Panjang,1.385889219,103.7677945,GREENRIDGE PRIMARY SCHOOL
Greenwood Primary School,Government,Mixed,Woodlands,1.439899583,103.8047256,GREENWOOD PRIMARY SCHOOL
Guangyang Primary School,Government,Mixed,Bishan,1.345690115,103.8494532,GUANGYANG PRIMARY SCHOOL
Haig Girls' School,Government,Girls,Geylang,1.311943443,103.9029026,HAIG GIRLS' SCHOOL
Henry Park Primary School,Government-aided,Mixed,Bukit Timah,1.316676462,103.7842962,HENRY PARK PRIMARY SCHOOL
Holy Innocents' Primary School,"Government-aided,?SAP",Mixed,Hougang,1.366938309,103.8941149,HOLY INNOCENTS' PRIMARY SCHOOL
Hong Wen School,"Government-aided,?SAP",Mixed,Kallang,1.32176,103.8576285,HONG WEN SCHOOL
Horizon Primary School,Government,Mixed,Punggol,1.399550034,103.9134049,HORIZON PRIMARY SCHOOL
Hougang Primary School,Government,Mixed,Hougang,1.377382452,103.8808053,HOUGANG PRIMARY SCHOOL
Huamin Primary School,Government,Mixed,Yishun,1.426972845,103.8442402,HUAMIN PRIMARY SCHOOL
Innova Primary School,Government,Mixed,Woodlands,1.428967007,103.7906075,INNOVA PRIMARY SCHOOL
Jiemin Primary School,Government,Mixed,Yishun,1.427688477,103.8304255,JIEMIN PRIMARY SCHOOL
Junyuan Primary School,Government,Mixed,Tampines,1.347870748,103.9392217,JUNYUAN PRIMARY SCHOOL
Jurong Primary School,Government,Mixed,Jurong East,1.348438597,103.7331566,JURONG PRIMARY SCHOOL
Jurong West Primary School,Government,Mixed,Jurong West,1.339175198,103.6988037,JURONG WEST PRIMARY SCHOOL
Keming Primary School,Government,Mixed,Bukit Batok,1.3455285,103.7564494,KEMING PRIMARY SCHOOL
Kheng Cheng School,Government-aided,Mixed,Toa Payoh,1.337338194,103.8471485,KHENG CHENG SCHOOL
Kong Hwa School,"Government-aided,?SAP",Mixed,Geylang,1.31099674,103.888352,KONG HWA SCHOOL
Kranji Primary School,Government,Mixed,Chua Chu Kang,1.393560505,103.7473627,KRANJI PRIMARY SCHOOL
Kuo Chuan Presbyterian Primary School,Government-aided,Mixed,Bishan,1.349398137,103.8550182,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL
Lakeside Primary School,Government,Mixed,Jurong West,1.338203977,103.7180895,LAKESIDE PRIMARY SCHOOL
Lianhua Primary School,Government,Mixed,Bukit Batok,1.354241911,103.7541658,LIANHUA PRIMARY SCHOOL
Maha Bodhi School,"Government-aided,?SAP",Mixed,Geylang,1.328470867,103.9012987,MAHA BODHI SCHOOL
Maris Stella High School,"Government-aided,?SAP",Boys,Toa Payoh,1.341394734,103.8778525,MARIS STELLA HIGH SCHOOL
Marsiling Primary School,Government,Mixed,Woodlands,1.43383904,103.773643,MARSILING PRIMARY SCHOOL
Marymount Convent School,Government-aided,Girls,Toa Payoh,1.34036677,103.8400211,MARYMOUNT CONVENT SCHOOL
Mayflower Primary School,Government,Mixed,Ang Mo Kio,1.376146217,103.8358052,MAYFLOWER PRIMARY SCHOOL (JAN 2019 - DEC 2021)
Mee Toh School,Government-aided,Mixed,Punggol,1.394618454,103.9085895,MEE TOH SCHOOL
Meridian Primary School,Government,Mixed,Pasir Ris,1.375528317,103.9348891,MERIDIAN PRIMARY SCHOOL
Methodist Girls' School (Primary),Government-aided,Girls,Bukit Timah,1.349472763,103.8849713,PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY)
Montfort Junior School,Government-aided,Boys,Hougang,1.373824441,103.8893078,MONTFORT JUNIOR SCHOOL
Nan Chiau Primary School,Government-aided,Mixed,Sengkang,1.392211499,103.8911809,NAN CHIAU PRIMARY SCHOOL
Nan Hua Primary School,"Government-aided,?SAP",Mixed,Clementi,1.3192016,103.7610951,NAN HUA PRIMARY SCHOOL
Nanyang Primary School,"Government-aided,?SAP",Mixed,Bukit Timah,1.320847499,103.8077502,NANYANG PRIMARY SCHOOL
Naval Base Primary School,Government,Mixed,Yishun,1.416306632,103.8387941,NAVAL BASE PRIMARY SCHOOL
New Town Primary School,Government,Mixed,Queenstown,1.299641882,103.8001022,NEW TOWN PRIMARY SCHOOL
Ngee Ann Primary School,Government-aided,Mixed,Marine Parade,1.305525059,103.917463,NGEE ANN PRIMARY SCHOOL
North Spring Primary School,Government,Mixed,Sengkang,1.387061465,103.9032027,NORTH SPRING PRIMARY SCHOOL
North View Primary School,Government,Mixed,Yishun,1.427523272,103.8481908,NORTH VIEW PRIMARY SCHOOL
North Vista Primary School,Government,Mixed,Sengkang,1.38282243,103.8959619,NORTH VISTA PRIMARY SCHOOL
Northland Primary School,Government,Mixed,Yishun,1.420969899,103.8409284,NORTHLAND PRIMARY SCHOOL
Northoaks Primary School,Government,Mixed,Sembawang,1.45660782,103.814197,NORTHOAKS PRIMARY SCHOOL
Oasis Primary School,Government,Mixed,Punggol,1.404624132,103.9111206,OASIS PRIMARY SCHOOL
Opera Estate Primary School,Government,Mixed,Bedok,1.319319144,103.9237883,OPERA ESTATE PRIMARY SCHOOL
Palm View Primary School,Government,Mixed,Sengkang,1.38376923,103.8913547,PALM VIEW PRIMARY SCHOOL
Park View Primary School,Government,Mixed,Pasir Ris,1.377380699,103.9395417,PARK VIEW PRIMARY SCHOOL
Pasir Ris Primary School,Government,Mixed,Pasir Ris,1.372418702,103.9628072,PASIR RIS PRIMARY SCHOOL
Paya Lebar Methodist Girls' School (Primary),Government-aided,Girls,Hougang,1.349472763,103.8849713,PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY)
