Primary school,LAT,LONG
Nan Hua Primary School,1.3192016,103.7610951
CHIJ St. Nicholas Girls' School,1.373476879,103.8342533
Pei Hwa Presbyterian Primary School,1.338056346,103.7761064
Rosyth School,1.372890675,103.8750015
Ai Tong School,1.360583434,103.8330203
Temasek Primary School,1.317706776,103.9455907
Rulang Primary School,1.346738689,103.718458
Catholic High School (Primary),1.354723075,103.8448747
St. Hilda's Primary School,1.34938565,103.9370071
Radin Mas Primary School,1.274958236,103.8241883
